"","category","name","price","ratings","no_of_reviews"
"64","PetSupplies","Pet Sherpa Fleece Jumper Vest Sweaters Turtleneck Pullover with D-ring Soft Sweatshirt for Small Dogs Cat Puppy Boy Girl Yorkie Chihuahua Warm Fall Winter Clothes,Pink,S","10.","3.9 out of 5 stars","1,005"
"65","PetSupplies","Cute Pet Puppy Cat Warm Jumper Sweater Bow Knitwear Coat Apparel Clothes Sweatershirt Winter Flannel Small Dog Chihuahua Yorkshire Hoodie Clothes Dog jacket","16.","3.8 out of 5 stars","9,680"
"66","PetSupplies","Security Dog Hoodies Puppy Sweatershirts Cold Weather Dog Coats Pet Hooded Clothes for Dog Cat Black","5.","4.2 out of 5 stars","162"
"67","PetSupplies","Cute Cat Paw Pad Thigh High Cosplay Socks With Pink 3D Kitten Claw Mittens Long Fingerless Gloves for Girls Women","6.","4.0 out of 5 stars","818"
"68","PetSupplies","Small Dog Sweater Coat Fleece Pet Pullover for Dogs Boy Girl Winter Warm Soft Puppy Jumper Clothes Apparel Cat Outwear for Cold Weather Blue S","12.","3.9 out of 5 stars","14"
"69","PetSupplies","Dog Winter Coats for Small Dogs Cats Shearing Fleece Dog Jacket Coat with D-Ring Cute Puppy Clothes with Bow Soft Warm Fleece Vest Clothing Windproof Cold Weather Pet Chihuahua Apparel Pink XS","8.","4.2 out of 5 stars","10"
"70","PetSupplies","Dog Sweater, Fashion Pet Winter Clothes + Socks Set, Soft Warm Dog Cat Jumper, Fleece Chihuahua Sweatshirt Pet Paw Protector, Pet Winter Supplies for Puppy Small Medium Large Dogs(Pink,L)","15.","4.0 out of 5 stars","2"
"71","PetSupplies","Dog Chinese New Year Costume Pets Knot Buttons Tang Suit Neck Strap Scarf Dog Chinese Style Cloak Coat Pet Vest for Cats Puppies Teddy Bichon Small Dogs (S,Red)","16.","4.1 out of 5 stars","56"
"72","PetSupplies","Cat Professional Recovery Suit for Abdominal Wounds or Skin Diseases, E-Collar Alternative for Cats, After Surgery Wear, Pajama Suit","2.","3.9 out of 5 stars","185"
"73","PetSupplies","Cat Ear Beanie for Women Girls, Autumn Winter Knit Cuff Beanie Hip Hop Beanie Hat Cat Crochet Ski Cap","5.","3.9 out of 5 stars","3"
