"","category","name","price","ratings","no_of_reviews"
"43","PetSupplies","Dog Sweater, Turtleneck Dog Jumper, Pullover Puppy Winter Clothes Cat, Puppy Winter Clothes, Chihuahua Clothes Yorkshire, Dog Accessories for Small Dogs (Small, Black)","8.",NA,"177"
"44","PetSupplies","Cat Professional Recovery Suit for Abdominal Wounds or Skin Diseases, E-Collar Alternative for Cats and Dogs, After Surgery Wear, Pajama Suit (Elephant Pattern, S)","8.",NA,"2"
"45","PetSupplies","Small Dog Hoodies Clothes Cotton, Warm Puppy Clothes Pullover, Sof Puppy Kittens Cotton Hoodies Coat, Pet Hooded Clothes for Small Dog Cat Winter Sweatshirt (L, Navy blue)","4.",NA,"1,354"
"46","PetSupplies","Cat Clothes Winter Hillylolly Pet Jumper Cat Sweater Warm Cat Clothing Cute Knitted Jumper for Cats Clothing Pink Strawberry Sweater Winter Pet Clothes (S)",NA,NA,"2"
"47","PetSupplies","Dog Cat Knitted Jumper Pullover Washable Puppy Purple Sweater Coat Winter Warm Pet Pullover Sweater Coat for Small Medium Puppy Cat Vest Knitwear Sweatshirt Outfit for Yorkshire Chihuahua (S, Purple)",NA,NA,NA
"48","PetSupplies","Outdoor Puppy Pet Rain Coat with Hood Waterproof Jackets PU Reflective Raincoat for Dogs Cats Apparel Clothes",NA,NA,NA
"49","PetSupplies","Check each product page for other buying options. Price and other details may vary based on product size and colour.","6.","3.8 out of 5 stars","4"
"50","PetSupplies","Pet Costume,Funny Nun Costume with Hat,Cute Pet Dog Cat Clothes Suit Outfit for Halloween Christmas Holiday Dress Up Cosplay Shirts Apparel Outfit Uniform","6.","3.8 out of 5 stars","1"
"51","PetSupplies","Winter Cat Ears Hat Knitted Cap Striped Knit Beanie Hat 1Piece, Trendy Winter Warm Crochet Cap Vintage Crochet Hats for Causal Home Office School Hiking","5.","4.0 out of 5 stars","99"
"52","PetSupplies","Christmas Snowflake Elk Pattern Pet Clothes,Cat Dog Christmas Outfit, Small Medium Dogs Cats Christmas Costumes, New Year Clothing Accessories for Small Pet Cat Dog (Snowflake-XS)","5.","4.1 out of 5 stars","598"
"53","PetSupplies","Dog Hoodie, Dog Clothes Sweater Dog Jumpsuit Fleece Sweatshirt Dog Outfit Dog Winter Clothes Cotton Puppy Hoodies for Small Medium Large Dogs Cats Apparel Navy blue","13.","4.0 out of 5 stars","33"
"54","PetSupplies","Classic Soft Knit Cat Jumper Dog Sweater, Turtleneck Knitwear Puppy Clothes for Puppy Cat Boy Girl, Cute Kitten Doggies Ugly Christmas Holiday Pet Apparel, LightBlue S","8.","4.1 out of 5 stars","41"
"55","PetSupplies","Cat Dog Princess Costumes Puppy Cat Birthday Bandana Scarf and Party Hat Cute Lace Dog Bib Scarf and Birthday Hat Doggy Cat Birthday Party Decorations Set","3.","4.2 out of 5 stars","854"
"56","PetSupplies","Cat Sunglasses-Cat UV Protection Classic Retro Small Dog Sun Glasses Dolls Round Sunglasses Party Cosplay Costume Photo Props Cute Funny Sunglasses (1Pc Round Glasses+1Pc Gold Chain),Rose Gold","4.","3.8 out of 5 stars","3"
"57","PetSupplies","Pet Scarf, Cute Pet Apparel Cat Accessories Red Winter Knitted Scarf with Tassel Pom Poms, Chinese New Year Pet Supplies Neck Warmer Neckerchief for Cats, Kitten, Dogs, Puppy, Pet (Size L)","17.","4.2 out of 5 stars","2"
"58","PetSupplies","Disney Boys Alice in Wonderland Cheshire Cat Colour T-Shirt Baby Pink 12-13 Years","5.","4.2 out of 5 stars","366"
"59","PetSupplies","Small Dog Hoodies Clothes Cotton, Warm Puppy Clothes Pullover, Sof Puppy Kittens Cotton Hoodies Coat, Pet Hooded Clothes for Small Dog Cat Winter Sweatshirt (L, Navy blue)","17.","4.0 out of 5 stars","122"
"60","PetSupplies","5 Pieces Cat Hat Adorable Costume Bunny Rabbit Hat with Ears Funny Frog Lion Mane Sunflower Banana Cat Hat for Cats and Small Dogs Kitten Puppy Party Costume Halloween Accessory Headwear, 5 Styles","5.","3.9 out of 5 stars","72"
"61","PetSupplies","Cat Birthday Bandana Cute Dog Birthday Hat Pets Birthday Party Supplies Birthday Outfit for Cat and Dog Pink A","24.","4.1 out of 5 stars","81"
"62","PetSupplies","Oversized Wearable Blanket Hoodie Kids | Girls Tabby Cat Snacks Fluffy Sherpa Fleece Pullover Vuddie | One Size Sweatshirt with Big Pocket","7.","4.1 out of 5 stars","9"
"63","PetSupplies","Cat Professional Recovery Suit for Abdominal Wounds or Skin Diseases, E-Collar Alternative for Cats and Dogs, After Surgery Wear, Pajama Suit (Elephant Pattern, S)","2.","4.0 out of 5 stars","38"
"64","PetSupplies","Halloween Pet Bat Wings,Cat Halloween Costume Cat Costume Cute Cat Halloween Bat Wings Adjustable Pet Costumes,Pet Halloween Bat Wings Costume for Cat Dog Bat Costume.","4.","3.8 out of 5 stars","10"
"65","PetSupplies","Cute Costume Bunny Rabbit Hat with Ears for Cats & Small Dogs Party Costume Easter Pet Accessory Headwear","4.","4.0 out of 5 stars","132"
"66","PetSupplies","Girls Party T-Shirt | Young Ladies Lets Pawty Birthday Cake Graphic Tee | Cute Kitty Short Sleeve Top Lightweight Internet Cat Apparel | Adorable Daywear Merchandise Gift for Children & Teens","4.","4.0 out of 5 stars","34"
"67","PetSupplies","Turtleneck Small Dog Jumper,Dog Sweater Winter Puppy Clothes Cute Knitted Vest for Knit Cold Weather Outfit Dogs and Cats (L), Green","14.","4.1 out of 5 stars","1"
"68","PetSupplies","Dog Jumper Winter, Turtleneck Knitting Sweater Winter Warm Coat Puppy Pullover Cable Knitted Clothes Outfit Knit Jumper Cat Jacket Apparel Sweatshirts Chihuahua Poodle Christmas Clothing(Grey, XS)","5.","3.9 out of 5 stars","5"
"69","PetSupplies","Large Storage Boxes - Large Linen Fabric Foldable Storage Cubes Bin Box Containers with Lid and Handles for CAT Apparel & Accessories, CAT Coats, CAT Toys, CAT Clothing-Gray","12.","3.8 out of 5 stars","51"
"70","PetSupplies","Cat Surgery Recovery Suit,Male Female Anti Licking Cat Onesies,Cone E-Collar Alternative Pet Vest Post Operative Abdominal Wounds Protector,Prevent Licking for Small Cat,Puppy Doughnut (XL)","23.","3.8 out of 5 stars","2"
